Date,Time,Open,High,Low,Close
3/16/2009,00:00,1.28880,1.29570,1.28620,1.29290
3/17/2009,00:00,1.28460,1.30710,1.28460,1.29710
3/18/2009,00:00,1.29700,1.30410,1.29310,1.30360
3/19/2009,00:00,1.30350,1.35340,1.29860,1.34910
3/20/2009,00:00,1.34900,1.37370,1.34160,1.36550
3/23/2009,00:00,1.36540,1.37260,1.35169,1.35811
3/24/2009,00:00,1.36564,1.37350,1.34846,1.36216
3/25/2009,00:00,1.36211,1.36775,1.34314,1.34920
3/26/2009,00:00,1.34934,1.36287,1.34175,1.35792
3/27/2009,00:00,1.35796,1.36393,1.34931,1.35326
3/30/2009,00:00,1.35328,1.35906,1.32563,1.32866
3/31/2009,00:00,1.32211,1.32852,1.31121,1.32016
4/1/2009,00:00,1.32012,1.33421,1.31731,1.32426
4/2/2009,00:00,1.32416,1.32855,1.31661,1.32331
4/3/2009,00:00,1.32336,1.35167,1.32336,1.34644
4/6/2009,00:00,1.34641,1.34940,1.33646,1.34849
4/7/2009,00:00,1.35142,1.35806,1.33571,1.33996
4/8/2009,00:00,1.33997,1.34076,1.32261,1.32671
4/9/2009,00:00,1.32674,1.33076,1.31478,1.32658
4/10/2009,00:00,1.32657,1.33349,1.31258,1.31571
4/13/2009,00:00,1.31576,1.31875,1.30894,1.31866
4/14/2009,00:00,1.31898,1.33915,1.31258,1.33677
4/15/2009,00:00,1.33676,1.33798,1.32253,1.32621
4/16/2009,00:00,1.32611,1.32953,1.31461,1.32123
4/17/2009,00:00,1.32122,1.32676,1.31260,1.31793
4/20/2009,00:00,1.31796,1.31966,1.30167,1.30426
4/21/2009,00:00,1.30406,1.30481,1.28889,1.29241
4/22/2009,00:00,1.29247,1.29934,1.28967,1.29454
4/23/2009,00:00,1.29455,1.30364,1.28844,1.30022
4/24/2009,00:00,1.30021,1.31602,1.29792,1.31336
4/27/2009,00:00,1.31335,1.33002,1.31125,1.32413
4/28/2009,00:00,1.32401,1.32416,1.29990,1.30173
4/29/2009,00:00,1.30171,1.31655,1.29649,1.31351
4/30/2009,00:00,1.31354,1.33402,1.31199,1.32521
5/1/2009,00:00,1.32553,1.33848,1.31910,1.32236
5/4/2009,00:00,1.32235,1.33274,1.32181,1.32636
5/5/2009,00:00,1.32818,1.34223,1.32123,1.34163
5/6/2009,00:00,1.34160,1.34363,1.32821,1.33106
5/7/2009,00:00,1.33111,1.33738,1.32457,1.33116
5/8/2009,00:00,1.33119,1.34681,1.32515,1.33862
5/11/2009,00:00,1.33857,1.36497,1.33416,1.36347
5/12/2009,00:00,1.36545,1.36668,1.35573,1.35767
5/13/2009,00:00,1.35775,1.37066,1.35628,1.36447
5/14/2009,00:00,1.36442,1.37214,1.35658,1.35900
5/15/2009,00:00,1.35903,1.36641,1.35255,1.36342
5/18/2009,00:00,1.36333,1.36490,1.34614,1.34947
5/19/2009,00:00,1.34836,1.35626,1.34234,1.35555
5/20/2009,00:00,1.35552,1.36675,1.35304,1.36273
5/21/2009,00:00,1.36272,1.38295,1.35831,1.37640
5/22/2009,00:00,1.37630,1.39228,1.37282,1.39030
5/25/2009,00:00,1.39027,1.40498,1.38987,1.39974
5/26/2009,00:00,1.40281,1.40352,1.39575,1.40144
5/27/2009,00:00,1.40133,1.40217,1.38598,1.39891
5/28/2009,00:00,1.39894,1.40002,1.38229,1.38352
5/29/2009,00:00,1.38353,1.39826,1.37931,1.39320
6/1/2009,00:00,1.39325,1.41678,1.39246,1.41597
6/2/2009,00:00,1.41322,1.42453,1.40987,1.41512
6/3/2009,00:00,1.41515,1.43308,1.41012,1.43068
6/4/2009,00:00,1.43066,1.43378,1.41094,1.41447
6/5/2009,00:00,1.41448,1.42400,1.40700,1.41755
6/8/2009,00:00,1.41758,1.42665,1.39327,1.39673
6/9/2009,00:00,1.39434,1.40017,1.38039,1.39019
6/10/2009,00:00,1.39032,1.41010,1.38519,1.40749
6/11/2009,00:00,1.40746,1.41432,1.39146,1.39656
6/12/2009,00:00,1.39661,1.41710,1.39428,1.40962
6/15/2009,00:00,1.40954,1.41281,1.39351,1.40153
6/16/2009,00:00,1.39876,1.40008,1.37554,1.37860
6/17/2009,00:00,1.37866,1.39321,1.37477,1.38345
6/18/2009,00:00,1.38349,1.39839,1.38062,1.39424
6/19/2009,00:00,1.39423,1.40005,1.38711,1.39052
6/22/2009,00:00,1.39049,1.40112,1.38822,1.39372
6/23/2009,00:00,1.39487,1.39491,1.38264,1.38562
6/24/2009,00:00,1.38561,1.41074,1.38284,1.40745
6/25/2009,00:00,1.40743,1.41375,1.38888,1.39293
6/26/2009,00:00,1.39292,1.40127,1.38891,1.39952
6/29/2009,00:00,1.39944,1.41173,1.39824,1.40551
6/30/2009,00:00,1.40616,1.41024,1.39825,1.40722
7/1/2009,00:00,1.40724,1.41513,1.40009,1.40352
7/2/2009,00:00,1.40360,1.41965,1.40009,1.41529
7/3/2009,00:00,1.41475,1.41530,1.39273,1.39495
7/6/2009,00:00,1.39494,1.40274,1.39437,1.39797
7/7/2009,00:00,1.39551,1.39977,1.38760,1.39732
7/8/2009,00:00,1.39736,1.40498,1.39032,1.39197
7/9/2009,00:00,1.39198,1.39376,1.38323,1.38741
7/10/2009,00:00,1.38730,1.40715,1.38583,1.40236
7/13/2009,00:00,1.40224,1.40294,1.38778,1.39353
7/14/2009,00:00,1.39461,1.40004,1.38966,1.39871
7/15/2009,00:00,1.39872,1.40141,1.39109,1.39716
7/16/2009,00:00,1.39725,1.41338,1.39626,1.41011
7/17/2009,00:00,1.41009,1.41652,1.40557,1.41392
7/20/2009,00:00,1.41397,1.41467,1.40629,1.41008
7/21/2009,00:00,1.41162,1.42479,1.41090,1.42270
7/22/2009,00:00,1.42272,1.42767,1.41634,1.42133
7/23/2009,00:00,1.42137,1.42568,1.41556,1.42055
7/24/2009,00:00,1.42059,1.42907,1.41190,1.41515
7/27/2009,00:00,1.41513,1.42527,1.41348,1.42016
7/28/2009,00:00,1.42297,1.42969,1.41712,1.42421
7/29/2009,00:00,1.42420,1.43036,1.41303,1.41714
7/30/2009,00:00,1.41711,1.41940,1.40072,1.40334
7/31/2009,00:00,1.40341,1.40946,1.40085,1.40652
8/3/2009,00:00,1.40658,1.42780,1.40639,1.42561
8/4/2009,00:00,1.42703,1.44435,1.42064,1.44192
8/5/2009,00:00,1.44191,1.44308,1.43670,1.43973
8/6/2009,00:00,1.43977,1.44465,1.43559,1.44131
8/7/2009,00:00,1.44126,1.44309,1.43291,1.43539
8/10/2009,00:00,1.43541,1.44118,1.41537,1.41825
8/11/2009,00:00,1.41810,1.42184,1.41041,1.41455
8/12/2009,00:00,1.41454,1.41850,1.41097,1.41482
8/13/2009,00:00,1.41477,1.42463,1.40861,1.42022
8/14/2009,00:00,1.42031,1.43267,1.42011,1.42780
8/17/2009,00:00,1.42771,1.43060,1.41599,1.42022
8/18/2009,00:00,1.41879,1.41942,1.40454,1.40703
8/19/2009,00:00,1.40698,1.41483,1.40666,1.41309
8/20/2009,00:00,1.41308,1.42661,1.40841,1.42343
8/21/2009,00:00,1.42344,1.42738,1.42005,1.42452
8/24/2009,00:00,1.42451,1.43751,1.42081,1.43249
8/25/2009,00:00,1.43437,1.43585,1.42806,1.42975
8/26/2009,00:00,1.42975,1.43616,1.42526,1.42986
8/27/2009,00:00,1.42983,1.43500,1.42065,1.42411
8/28/2009,00:00,1.42407,1.44049,1.42192,1.43478
8/31/2009,00:00,1.43481,1.43880,1.42811,1.43022
9/1/2009,00:00,1.43076,1.43668,1.42559,1.43311
9/2/2009,00:00,1.43310,1.43760,1.41770,1.42180
9/3/2009,00:00,1.42190,1.42930,1.41890,1.42600
9/4/2009,00:00,1.42600,1.43470,1.42360,1.42570
9/7/2009,00:00,1.42570,1.43260,1.41910,1.42950
9/8/2009,00:00,1.43050,1.43580,1.43020,1.43380
9/9/2009,00:00,1.43370,1.45330,1.43280,1.44930
9/10/2009,00:00,1.44930,1.45990,1.44660,1.45640
9/11/2009,00:00,1.45630,1.46120,1.45020,1.45790
9/14/2009,00:00,1.45800,1.46330,1.45530,1.45700
9/15/2009,00:00,1.45970,1.46511,1.45154,1.46276
9/16/2009,00:00,1.46278,1.46847,1.45611,1.46610
9/17/2009,00:00,1.46600,1.47361,1.46412,1.47078
9/18/2009,00:00,1.47069,1.47652,1.46879,1.47437
9/21/2009,00:00,1.47431,1.47437,1.46471,1.47106
9/22/2009,00:00,1.46953,1.47125,1.46110,1.46763
9/23/2009,00:00,1.46793,1.48203,1.46748,1.47893
9/24/2009,00:00,1.47889,1.48427,1.46899,1.46899
9/25/2009,00:00,1.46886,1.48016,1.46282,1.46606
9/28/2009,00:00,1.46608,1.47239,1.46142,1.46881
9/29/2009,00:00,1.47011,1.47193,1.45640,1.46128
9/30/2009,00:00,1.46132,1.46452,1.45274,1.45832
10/1/2009,00:00,1.45838,1.46730,1.45752,1.46368
10/2/2009,00:00,1.46367,1.46676,1.45170,1.45423
10/5/2009,00:00,1.45416,1.46457,1.44835,1.45740
10/6/2009,00:00,1.45883,1.46676,1.45791,1.46474
10/7/2009,00:00,1.46476,1.47609,1.46445,1.47207
10/8/2009,00:00,1.47208,1.47355,1.46489,1.46862
10/9/2009,00:00,1.46863,1.48150,1.46816,1.47905
10/12/2009,00:00,1.47903,1.47933,1.46723,1.47300
10/13/2009,00:00,1.47167,1.48115,1.46752,1.47754
10/14/2009,00:00,1.47767,1.48737,1.47608,1.48510
10/15/2009,00:00,1.48509,1.49443,1.48375,1.49323
10/16/2009,00:00,1.49329,1.49656,1.48415,1.49352
10/19/2009,00:00,1.49356,1.49651,1.48473,1.49035
10/20/2009,00:00,1.48932,1.49790,1.48267,1.49647
10/21/2009,00:00,1.49645,1.49931,1.48823,1.49396
10/22/2009,00:00,1.49395,1.50453,1.48879,1.50072
10/23/2009,00:00,1.50155,1.50375,1.49435,1.50261
10/26/2009,00:00,1.50258,1.50595,1.49855,1.50072
10/27/2009,00:00,1.50090,1.50617,1.48448,1.48652
10/28/2009,00:00,1.48651,1.49262,1.47701,1.48062
10/29/2009,00:00,1.48063,1.48403,1.46931,1.47153
10/30/2009,00:00,1.47154,1.48585,1.46829,1.48396
11/2/2009,00:00,1.48395,1.48575,1.47030,1.47185
11/3/2009,00:00,1.47346,1.48443,1.47032,1.47722
11/4/2009,00:00,1.47723,1.48102,1.46262,1.47156
11/5/2009,00:00,1.47157,1.49079,1.47016,1.48772
11/6/2009,00:00,1.48773,1.49160,1.48109,1.48712
11/9/2009,00:00,1.48711,1.49135,1.48134,1.48462
11/10/2009,00:00,1.48716,1.50195,1.48526,1.49959
11/11/2009,00:00,1.49962,1.50194,1.49383,1.49840
11/12/2009,00:00,1.49839,1.50475,1.49527,1.49845
11/13/2009,00:00,1.49846,1.50156,1.48210,1.48435
11/16/2009,00:00,1.48437,1.49372,1.48243,1.49019
11/17/2009,00:00,1.49194,1.50147,1.48847,1.49701
11/18/2009,00:00,1.49693,1.49985,1.48076,1.48633
11/19/2009,00:00,1.48635,1.49899,1.48623,1.49609
11/20/2009,00:00,1.49608,1.49630,1.48431,1.49171
11/23/2009,00:00,1.49169,1.49342,1.48011,1.48614
11/24/2009,00:00,1.48501,1.49985,1.48482,1.49602
11/25/2009,00:00,1.49595,1.49882,1.48881,1.49632
11/26/2009,00:00,1.49644,1.51437,1.49549,1.51344
11/27/2009,00:00,1.51342,1.51411,1.49588,1.50059
11/30/2009,00:00,1.50061,1.50093,1.48281,1.49869
12/1/2009,00:00,1.50084,1.50830,1.49633,1.50075
12/2/2009,00:00,1.50074,1.51164,1.49712,1.50761
12/3/2009,00:00,1.50760,1.51089,1.50320,1.50470
12/4/2009,00:00,1.50473,1.51399,1.50371,1.50517
12/7/2009,00:00,1.50523,1.50890,1.48198,1.48560
12/8/2009,00:00,1.48678,1.49028,1.47545,1.48266
12/9/2009,00:00,1.48271,1.48662,1.46808,1.47033
12/10/2009,00:00,1.47035,1.47811,1.46681,1.47393
12/11/2009,00:00,1.47397,1.47598,1.46845,1.47321
12/14/2009,00:00,1.47311,1.47754,1.45859,1.46138
12/15/2009,00:00,1.46146,1.46850,1.46045,1.46508
12/16/2009,00:00,1.46509,1.46582,1.45037,1.45367
12/17/2009,00:00,1.45369,1.45892,1.45053,1.45300
12/18/2009,00:00,1.45299,1.45326,1.43041,1.43497
12/21/2009,00:00,1.43493,1.44108,1.42611,1.43352
12/22/2009,00:00,1.43118,1.43724,1.42651,1.42740
12/23/2009,00:00,1.42737,1.43311,1.42175,1.42531
12/24/2009,00:00,1.42530,1.43659,1.42336,1.43282
12/28/2009,00:00,1.43278,1.44173,1.43277,1.43538
12/29/2009,00:00,1.43712,1.44127,1.43534,1.43716
12/30/2009,00:00,1.43717,1.44573,1.43310,1.43486
12/31/2009,00:00,1.43485,1.43600,1.42725,1.43360
1/4/2010,00:00,1.43365,1.44398,1.43059,1.43278
1/5/2010,00:00,1.43259,1.44543,1.42569,1.44111
1/6/2010,00:00,1.44107,1.44830,1.43467,1.43624
1/7/2010,00:00,1.43632,1.44338,1.42831,1.43998
1/8/2010,00:00,1.44001,1.44456,1.42994,1.43041
1/11/2010,00:00,1.43039,1.44263,1.42634,1.44085
1/12/2010,00:00,1.44125,1.45545,1.44121,1.45120
1/13/2010,00:00,1.45128,1.45448,1.44537,1.44920
1/14/2010,00:00,1.44918,1.45785,1.44561,1.45052
1/15/2010,00:00,1.45105,1.45547,1.44478,1.44978
1/18/2010,00:00,1.44978,1.45108,1.43365,1.43857
1/19/2010,00:00,1.43480,1.43995,1.43348,1.43872
1/20/2010,00:00,1.43881,1.44131,1.42527,1.42869
1/21/2010,00:00,1.42869,1.42890,1.40818,1.41062
1/22/2010,00:00,1.41062,1.41415,1.40285,1.40837
1/25/2010,00:00,1.40833,1.41807,1.40662,1.41363
1/26/2010,00:00,1.41523,1.41938,1.41278,1.41481
1/27/2010,00:00,1.41476,1.41784,1.40422,1.40770
1/28/2010,00:00,1.40773,1.40963,1.39935,1.40327
1/29/2010,00:00,1.40332,1.40518,1.39464,1.39609
2/1/2010,00:00,1.39616,1.39870,1.38610,1.38611
2/2/2010,00:00,1.38627,1.39376,1.38521,1.39325
2/3/2010,00:00,1.39329,1.39738,1.38858,1.39671
2/4/2010,00:00,1.39675,1.40255,1.38855,1.38912
2/5/2010,00:00,1.38894,1.39023,1.37149,1.37273
2/8/2010,00:00,1.37277,1.37448,1.35854,1.36776
2/9/2010,00:00,1.36561,1.37128,1.36210,1.36552
2/10/2010,00:00,1.36550,1.38380,1.36488,1.37938
2/11/2010,00:00,1.37942,1.38119,1.36767,1.37337
2/12/2010,00:00,1.37336,1.38000,1.35955,1.36885
2/15/2010,00:00,1.36885,1.36943,1.35311,1.36309
2/16/2010,00:00,1.36158,1.36322,1.35785,1.35973
2/17/2010,00:00,1.35981,1.37785,1.35879,1.37587
2/18/2010,00:00,1.37595,1.37881,1.35859,1.35993
2/19/2010,00:00,1.35992,1.36537,1.34835,1.34923
2/22/2010,00:00,1.34952,1.36174,1.34433,1.36116
2/23/2010,00:00,1.36133,1.36531,1.35745,1.35996
2/24/2010,00:00,1.35993,1.36913,1.34961,1.35136
2/25/2010,00:00,1.35141,1.36250,1.35020,1.35372
2/26/2010,00:00,1.35372,1.35702,1.34504,1.35383
3/1/2010,00:00,1.35388,1.36826,1.35300,1.36310
3/2/2010,00:00,1.36222,1.36541,1.34601,1.35677
3/3/2010,00:00,1.35671,1.36213,1.34349,1.36087
3/4/2010,00:00,1.36092,1.37351,1.35921,1.36940
3/5/2010,00:00,1.36950,1.37117,1.35511,1.35793
3/8/2010,00:00,1.35793,1.36297,1.35300,1.36198
3/9/2010,00:00,1.36307,1.37038,1.36056,1.36267
3/10/2010,00:00,1.36266,1.36347,1.35370,1.36013
3/11/2010,00:00,1.36013,1.36793,1.35440,1.36548
3/12/2010,00:00,1.36548,1.36864,1.36206,1.36765
3/15/2010,00:00,1.36770,1.37954,1.36693,1.37678
3/16/2010,00:00,1.37612,1.37746,1.36423,1.36724
3/17/2010,00:00,1.36731,1.37825,1.36566,1.37627
3/18/2010,00:00,1.37642,1.38171,1.37261,1.37353
3/19/2010,00:00,1.37342,1.37402,1.35862,1.36072
3/22/2010,00:00,1.36075,1.36263,1.35029,1.35301
3/23/2010,00:00,1.35174,1.35676,1.34629,1.35578
3/24/2010,00:00,1.35574,1.35687,1.34755,1.34920
3/25/2010,00:00,1.34916,1.34946,1.33050,1.33281
3/26/2010,00:00,1.33276,1.33861,1.32671,1.32735
3/29/2010,00:00,1.32732,1.34231,1.32725,1.34075
3/30/2010,00:00,1.34719,1.35056,1.34172,1.34755
3/31/2010,00:00,1.34756,1.35367,1.33951,1.34194
4/1/2010,00:00,1.34190,1.35477,1.33841,1.35062
4/2/2010,00:00,1.35065,1.35904,1.34600,1.35837
4/5/2010,00:00,1.35840,1.35902,1.34748,1.35030
4/6/2010,00:00,1.34900,1.35378,1.34599,1.34818
4/7/2010,00:00,1.34823,1.34959,1.33551,1.33932
4/8/2010,00:00,1.33930,1.34078,1.33260,1.33388
4/9/2010,00:00,1.33394,1.33657,1.32821,1.33572
4/12/2010,00:00,1.33570,1.34985,1.33414,1.34984
4/13/2010,00:00,1.36107,1.36913,1.35656,1.35858
4/14/2010,00:00,1.35862,1.36267,1.35463,1.36147
4/15/2010,00:00,1.36147,1.36780,1.35959,1.36508
4/16/2010,00:00,1.36516,1.36665,1.35215,1.35790
4/19/2010,00:00,1.35789,1.35806,1.34726,1.35017
4/20/2010,00:00,1.34769,1.34972,1.34160,1.34888
4/21/2010,00:00,1.34887,1.35222,1.34283,1.34403
4/22/2010,00:00,1.34409,1.34467,1.33579,1.33882
4/23/2010,00:00,1.33878,1.34208,1.32651,1.32866
4/26/2010,00:00,1.32875,1.33990,1.32016,1.33811
4/27/2010,00:00,1.33460,1.34147,1.32916,1.33919
4/28/2010,00:00,1.33923,1.34130,1.31445,1.31619
4/29/2010,00:00,1.31644,1.32654,1.31141,1.32052
4/30/2010,00:00,1.32061,1.32777,1.31838,1.32428
5/3/2010,00:00,1.32408,1.33417,1.32248,1.32936
5/4/2010,00:00,1.33296,1.33326,1.31540,1.31888
5/5/2010,00:00,1.31884,1.32131,1.29629,1.29718
5/6/2010,00:00,1.29702,1.29956,1.27891,1.28182
5/7/2010,00:00,1.28191,1.28557,1.25270,1.26296
5/10/2010,00:00,1.26296,1.27973,1.25860,1.27518
5/11/2010,00:00,1.29299,1.30934,1.27588,1.27864
5/12/2010,00:00,1.27867,1.28022,1.26266,1.26328
5/13/2010,00:00,1.26329,1.27383,1.26051,1.26334
5/14/2010,00:00,1.26300,1.26834,1.25159,1.25223
5/17/2010,00:00,1.25223,1.25753,1.23529,1.23566
5/18/2010,00:00,1.23485,1.24138,1.22332,1.23968
5/19/2010,00:00,1.23971,1.24437,1.21581,1.21710
5/20/2010,00:00,1.21709,1.24300,1.21435,1.24220
5/21/2010,00:00,1.24210,1.25969,1.22957,1.24683
5/24/2010,00:00,1.24710,1.26711,1.24628,1.25712
5/25/2010,00:00,1.25461,1.25622,1.23316,1.23440
5/26/2010,00:00,1.23491,1.23877,1.21776,1.23704
5/27/2010,00:00,1.23709,1.23709,1.21537,1.21609
5/28/2010,00:00,1.21615,1.23937,1.21534,1.23563
5/31/2010,00:00,1.23565,1.24518,1.22651,1.22720
6/1/2010,00:00,1.22807,1.23341,1.22665,1.23080
6/2/2010,00:00,1.23061,1.23487,1.21107,1.22115
6/3/2010,00:00,1.22113,1.22726,1.21749,1.22492
6/4/2010,00:00,1.22494,1.23252,1.21520,1.21614
6/7/2010,00:00,1.21616,1.22150,1.19551,1.19671
6/8/2010,00:00,1.19460,1.19907,1.18758,1.19166
6/9/2010,00:00,1.19165,1.20080,1.19022,1.19640
6/10/2010,00:00,1.19636,1.20724,1.19236,1.19840
6/11/2010,00:00,1.19834,1.21411,1.19565,1.21081
6/14/2010,00:00,1.21074,1.21521,1.20452,1.21112
6/15/2010,00:00,1.21188,1.22975,1.21155,1.22130
6/16/2010,00:00,1.22135,1.23490,1.21679,1.23228
6/17/2010,00:00,1.23222,1.23525,1.22552,1.22989
6/18/2010,00:00,1.22985,1.24095,1.22422,1.23794
6/21/2010,00:00,1.23794,1.24156,1.23529,1.23875
6/22/2010,00:00,1.24291,1.24664,1.23038,1.23232
6/23/2010,00:00,1.23239,1.23531,1.22521,1.22674
6/24/2010,00:00,1.22673,1.23431,1.22090,1.23102
6/25/2010,00:00,1.23100,1.23869,1.22614,1.23276
6/28/2010,00:00,1.23276,1.23942,1.22538,1.23681
6/29/2010,00:00,1.23781,1.23966,1.22651,1.22803
6/30/2010,00:00,1.22805,1.22902,1.21495,1.21886
7/1/2010,00:00,1.21898,1.23038,1.21662,1.22302
7/2/2010,00:00,1.22300,1.25328,1.21930,1.25163
7/5/2010,00:00,1.25163,1.26106,1.24824,1.25655
7/6/2010,00:00,1.25558,1.25619,1.25100,1.25380
7/7/2010,00:00,1.25380,1.26623,1.24796,1.26261
7/8/2010,00:00,1.26261,1.26630,1.25531,1.26316
7/9/2010,00:00,1.26312,1.27105,1.26199,1.26931
7/12/2010,00:00,1.26924,1.27218,1.26085,1.26404
7/13/2010,00:00,1.26413,1.26463,1.25506,1.25887
7/14/2010,00:00,1.25889,1.27381,1.25219,1.27265
7/15/2010,00:00,1.27271,1.27768,1.26822,1.27414
7/16/2010,00:00,1.27411,1.29540,1.27092,1.29310
7/19/2010,00:00,1.29321,1.30063,1.28894,1.29296
7/20/2010,00:00,1.29040,1.29908,1.28711,1.29472
7/21/2010,00:00,1.29465,1.30275,1.28389,1.28911
7/22/2010,00:00,1.28910,1.29123,1.27318,1.27528
7/23/2010,00:00,1.27529,1.29302,1.27368,1.28865
7/26/2010,00:00,1.28868,1.29642,1.27932,1.29086
7/27/2010,00:00,1.28940,1.30046,1.28761,1.29865
7/28/2010,00:00,1.29869,1.30453,1.29516,1.30001
7/29/2010,00:00,1.29995,1.30412,1.29662,1.29868
7/30/2010,00:00,1.29880,1.31060,1.29774,1.30795
8/2/2010,00:00,1.30798,1.30930,1.29802,1.30504
8/3/2010,00:00,1.30596,1.31945,1.30533,1.31753
8/4/2010,00:00,1.31741,1.32610,1.31464,1.32260
8/5/2010,00:00,1.32258,1.32382,1.31308,1.31538
8/6/2010,00:00,1.31542,1.32344,1.31186,1.31841
8/9/2010,00:00,1.31844,1.33327,1.31573,1.32781
8/10/2010,00:00,1.32880,1.33070,1.32163,1.32242
8/11/2010,00:00,1.32242,1.32306,1.30742,1.31745
8/12/2010,00:00,1.31745,1.31860,1.28299,1.28447
8/13/2010,00:00,1.28442,1.29320,1.27805,1.28269
8/16/2010,00:00,1.28263,1.29052,1.27494,1.27531
8/17/2010,00:00,1.27650,1.28705,1.27336,1.28219
8/18/2010,00:00,1.28211,1.29152,1.28038,1.28787
8/19/2010,00:00,1.28787,1.29214,1.28233,1.28518
8/20/2010,00:00,1.28522,1.29021,1.27721,1.28152
8/23/2010,00:00,1.28171,1.28315,1.26634,1.27105
8/24/2010,00:00,1.27050,1.27287,1.26458,1.26461
8/25/2010,00:00,1.26484,1.27157,1.25874,1.26307
8/26/2010,00:00,1.26317,1.27254,1.26090,1.26630
8/27/2010,00:00,1.26632,1.27634,1.26501,1.27161
8/30/2010,00:00,1.27159,1.27778,1.26810,1.27617
8/31/2010,00:00,1.27641,1.27647,1.26585,1.26631
9/1/2010,00:00,1.26630,1.27422,1.26250,1.26889
9/2/2010,00:00,1.26892,1.28546,1.26630,1.28026
9/3/2010,00:00,1.28010,1.28474,1.27764,1.28251
9/6/2010,00:00,1.28246,1.28969,1.28082,1.28951
9/7/2010,00:00,1.28934,1.29167,1.28666,1.28750
9/8/2010,00:00,1.28747,1.28757,1.26767,1.26821
9/9/2010,00:00,1.26831,1.27624,1.26588,1.27234
9/10/2010,00:00,1.27227,1.27654,1.26645,1.26970
9/13/2010,00:00,1.26970,1.27461,1.26434,1.26784
9/14/2010,00:00,1.27050,1.28923,1.27040,1.28771
9/15/2010,00:00,1.28751,1.30324,1.28290,1.29866
9/16/2010,00:00,1.29865,1.30360,1.29528,1.30118
9/17/2010,00:00,1.30120,1.31160,1.29754,1.30731
9/20/2010,00:00,1.30741,1.31584,1.30189,1.30487
9/21/2010,00:00,1.30460,1.31210,1.30288,1.30621
